repos
jtleek/datasharing
rdpeng/ProgrammingAssignment2
octocat/Spoon-Knife
tensorflow/tensorflow
SmartThingsCommunity/SmartThingsPublic
twbs/bootstrap
github/gitignore
Pierian-Data/Complete-Python-3-Bootcamp
nightscout/cgm-remote-monitor
rdpeng/ExData_Plotting1
jwasham/coding-interview-university
opencv/opencv
EbookFoundation/free-programming-books
CyC2018/CS-Notes
tensorflow/models
eugenp/tutorials
jackfrued/Python-100-Days
firstcontributions/first-contributions
torvalds/linux
Snailclimb/JavaGuide
jlord/patchwork
TheAlgorithms/Python
barryclark/jekyll-now
spring-projects/spring-framework
DataScienceSpecialization/courses
ant-design/ant-design
vuejs/vue
bitcoin/bitcoin
kubernetes/kubernetes
mrdoob/three.js
github/docs
angular/angular.js
donnemartin/system-design-primer
PanJiaChen/vue-element-admin
django/django
kamranahmedse/developer-roadmap
apache/spark
justjavac/free-programming-books-zh_CN
facebook/create-react-app
ohmyzsh/ohmyzsh
mui-org/material-ui
apache/dubbo
justjavac/free-programming-books-zh_CN
facebook/create-react-app
ohmyzsh/ohmyzsh
dotnet/AspNetCore.Docs
udacity/frontend-nanodegree-resume
macrozheng/mall
d3/d3
git/git
macrozheng/mall
d3/d3
git/git
qmk/qmk_firmware
scikit-learn/scikit-learn
iluwatar/java-design-patterns
airbnb/javascript
sindresorhus/awesome
laravel/laravel
nodejs/node
slatedocs/slate
google/it-cert-automation-practice
elastic/elasticsearch
python/cpython
microsoft/vscode
trekhleb/javascript-algorithms
angular/angular
redis/redis
jquery/jquery
wesbos/JavaScript30
wesbos/JavaScript30
vinta/awesome-python
rails/rails
shadowsocks/shadowsocks
flutter/flutter
labuladong/fucking-algorithm
public-apis/public-apis
BVLC/caffe
keras-team/keras
pjreddie/darknet
wakaleo/game-of-life
atom/atom
academicpages/academicpages.github.io
scm-ninja/starter-web
shadowsocks/shadowsocks-windows
doocs/advanced-java
animate-css/animate.css
hakimel/reveal.js
udacity/course-collaboration-travel-plans
home-assistant/core
kelseyhightower/kubernetes-the-hard-way
trustwallet/assets
CocoaPods/Specs
fengdu78/Coursera-ML-AndrewNg-Notes
practical-tutorials/project-based-learning
grafana/grafana
google/material-design-icons
bclswl0827/v2ray-heroku
exacity/deeplearningbook-chinese
0voice/interview_internal_reference
PHPMailer/PHPMailer
kelseyhightower/kubernetes-the-hard-way
trustwallet/assets
fengdu78/Coursera-ML-AndrewNg-Notes
practical-tutorials/project-based-learning
grafana/grafana
google/material-design-icons
bclswl0827/v2ray-heroku
exacity/deeplearningbook-chinese
axios/axios
axios/axios
0voice/interview_internal_reference
geekcompany/ResumeSample
FFmpeg/FFmpeg
apache/rocketmq
vuejs/awesome-vue
jleetutorial/maven-project
chanjarster/weixin-java-tools
mathiasbynens/dotfiles
square/okhttp
xuxueli/xxl-job
rust-lang/rust
vivienzou1/DL-Notes-for-Interview
google-research/bert
learn-co-students/python-variables-lab-data-science-intro-000
adobe/brackets
awesomedata/awesome-public-datasets
xkcoding/spring-boot-demo
blueimp/jQuery-File-Upload
GoogleChrome/lighthouse
shadowsocks/ShadowsocksX-NG
udacity/ud839_Miwok
OAI/OpenAPI-Specification
puppeteer/puppeteer
microsoft/Windows-universal-samples
kelthuzadx/hosts
XX-net/XX-Net
godotengine/godot
ruicky/jd_sign_bot
ApolloAuto/apollo
ruanyf/es6tutorial
ageron/handson-ml2
georgearun/Data-Science--Cheat-Sheet
PhilJay/MPAndroidChart
psf/requests
grpc/grpc
mozilla/pdf.js
azl397985856/leetcode
yangshun/tech-interview-handbook
TryGhost/Ghost
xuxueli/xxl-job
rust-lang/rust
symfony/symfony
Avik-Jain/100-Days-Of-ML-Code
vivienzou1/DL-Notes-for-Interview
google-research/bert
learn-co-students/python-variables-lab-data-science-intro-000
alibaba/nacos
adobe/brackets
v2ray/v2ray-core
alibaba/druid
shadowsocks/ShadowsocksX-NG
udacity/ud839_Miwok
OAI/OpenAPI-Specification
puppeteer/puppeteer
microsoft/Windows-universal-samples
kelthuzadx/hosts
XX-net/XX-Net
godotengine/godot
ruicky/jd_sign_bot
openssl/openssl
andyzys/jd_seckill
qiubaiying/qiubaiying.github.io
anuraghazra/github-readme-stats
openai/gym
firebase/quickstart-android
goldbergyoni/nodebestpractices
judasn/IntelliJ-IDEA-Tutorial
jobbole/awesome-python-cn
alibaba/p3c
learn-co-students/js-from-dom-to-node-bootcamp-prep-000
chinese-poetry/chinese-poetry
guodongxiaren/README
swirldev/swirl_courses
jenkinsci/jenkins
desktop/desktop
jrowberg/i2cdevlib
learn-co-students/javascript-intro-to-functions-lab-bootcamp-prep-000
angular-ui/bootstrap
dotnet/aspnetcore
hasura/imad-app
yankils/Simple-DevOps-Project
forezp/SpringCloudLearning
freddier/hyperblog
bilibili/ijkplayer
justjavac/awesome-wechat-weapp
android/architecture-components-samples
tesseract-ocr/tesseract
nodejs/node-v0.x-archive
learn-co-students/python-lists-readme-data-science-intro-000
openai/gym
firebase/quickstart-android
goldbergyoni/nodebestpractices
judasn/IntelliJ-IDEA-Tutorial
jobbole/awesome-python-cn
alibaba/p3c
TheOdinProject/curriculum
angular/angular-seed
SheetJS/sheetjs
julycoding/The-Art-Of-Programming-By-July
prakhar1989/awesome-courses
sahat/hackathon-starter
discourse/discourse
yankils/hello-world
alvarotrigo/fullPage.js
akveo/ngx-admin
openssl/openssl
andyzys/jd_seckill
qiubaiying/qiubaiying.github.io
anuraghazra/github-readme-stats
hashicorp/terraform
macrozheng/mall-learning
moment/moment
square/retrofit
cocos2d/cocos2d-x
yiisoft/yii2
521xueweihan/HelloGitHub
microsoft/terminal
videojs/video.js
seata/seata
microsoft/sql-server-samples
Micropoor/Micro8
xamarin/xamarin-forms-samples
ColorlibHQ/gentelella
donnemartin/data-science-ipython-notebooks
Homebrew/brew
amix/vimrc
vnpy/vnpy
chrislgarry/Apollo-11
CMU-Perceptual-Computing-Lab/openpose
desktop/desktop
jrowberg/i2cdevlib
learn-co-students/javascript-intro-to-functions-lab-bootcamp-prep-000
angular-ui/bootstrap
dotnet/aspnetcore
RocketChat/Rocket.Chat
hashicorp/terraform
macrozheng/mall-learning
moment/moment
square/retrofit
cocos2d/cocos2d-x
yiisoft/yii2
521xueweihan/HelloGitHub
microsoft/terminal
videojs/video.js
seata/seata
arduino/Arduino
JeffLi1993/springboot-learning-example
romeokienzler/TensorFlow
QSCTech/zju-icicles
elastic/kibana
Alamofire/Alamofire
apache/incubator-mxnet
halo-dev/halo
php/php-src
impress/impress.js
NixOS/nixpkgs
fchollet/deep-learning-with-python-notebooks
yunjey/pytorch-tutorial
amjuarez/bytecoin
numpy/numpy
lodash/lodash
faif/python-patterns
dromara/hutool
alibaba/arthas
open-mmlab/mmdetection
aosp-mirror/platform_frameworks_base
google/leveldb
hussien89aa/AndroidTutorialForBeginners
ZuzooVn/machine-learning-for-software-engineers
chrislgarry/Apollo-11
CMU-Perceptual-Computing-Lab/openpose
phonegap/phonegap-start
learn-co-students/py-lists-with-maps-data-science-intro-000
storybookjs/storybook
iperov/DeepFaceLab
floodsung/Deep-Learning-Papers-Reading-Roadmap
OpenZeppelin/openzeppelin-contracts
SeleniumHQ/selenium
github/personal-website
